[2019/9/12 8:39:15 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 15:52:41 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:01:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:01:45 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:01:46 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:01:52 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:01:52 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:03:36 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:03:36 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:03:37 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:03:42 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:03:42 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:07:46 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:07:46 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:07:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:07:53 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:07:53 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:12:08 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:12:08 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:12:08 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:12:14 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:12:14 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:13:11 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:13:11 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:13:11 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:13:17 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:13:17 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:15:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:15:45 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:15:46 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:15:51 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:15:51 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:21:28 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:21:28 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:21:29 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:21:33 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:21:33 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:22:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:22:45 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:22:46 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:22:51 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:22:51 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:33:02 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:33:02 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:33:02 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:33:08 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:33:08 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:35:46 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:35:46 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:35:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:35:53 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:35:53 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:36:46 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:36:46 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:36:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:36:53 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:36:53 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:37:07 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:37:07 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:37:09 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: 错误信息:错误ERR_SET_WHILE_MOVING : 轴正在运动，不能设置参数
错误ERR_SET_WHILE_MOVING : 轴正在运动，不能设置参数
错误ERR_SET_WHILE_MOVING : 轴正在运动，不能设置参数
错误ERR_SET_WHILE_MOVING : 轴正在运动，不能设置参数
错误State_Busy : 状态忙
, 错误编码:0 102 102 102 102 4 , 错误函数:SetStartFindZeroParameters, 错误轴向:W
   在 Device_Link_LTSMC.LTSMC_Axis.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.LTSMC_Axis.SetStartFindZeroParameters(Double speed, Direction ToZeroDir)
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/12 16:37:09 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:42:00 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:42:00 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:42:00 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:42:03 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:42:03 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:45:02 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:45:02 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:45:03 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:45:09 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:45:09 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:47:26 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:47:26 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:47:27 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:47:32 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:47:32 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:48:38 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:48:38 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:48:39 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:48:44 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:48:44 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:50:47 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:50:47 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:50:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:50:53 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:50:53 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:53:19 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:53:19 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:53:20 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:53:26 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:53:26 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:54:41 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:54:41 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:54:42 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:54:48 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:54:48 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:56:47 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:56:47 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:56:48 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:56:53 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:56:53 , Normal] -> 所有坐标清零成功 
 [2019/9/12 16:59:17 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 16:59:17 , Normal] -> 设置轴向归零参数 
 [2019/9/12 16:59:18 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 16:59:23 , Normal] -> 水平轴向归零成功 
 [2019/9/12 16:59:23 , Normal] -> 所有坐标清零成功 
 [2019/9/12 17:05:52 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 17:05:52 , Normal] -> 设置轴向归零参数 
 [2019/9/12 17:05:53 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 17:05:58 , Normal] -> 水平轴向归零成功 
 [2019/9/12 17:05:58 , Normal] -> 所有坐标清零成功 
 [2019/9/12 17:09:40 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 17:09:40 , Normal] -> 设置轴向归零参数 
 [2019/9/12 17:09:41 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 17:09:46 , Normal] -> 水平轴向归零成功 
 [2019/9/12 17:09:46 , Normal] -> 所有坐标清零成功 
 [2019/9/12 17:13:32 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 17:13:32 , Normal] -> 设置轴向归零参数 
 [2019/9/12 17:13:33 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 17:13:38 , Normal] -> 水平轴向归零成功 
 [2019/9/12 17:13:38 , Normal] -> 所有坐标清零成功 
 [2019/9/12 17:15:48 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 17:15:48 , Normal] -> 设置轴向归零参数 
 [2019/9/12 17:15:49 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 17:15:55 , Normal] -> 水平轴向归零成功 
 [2019/9/12 17:15:55 , Normal] -> 所有坐标清零成功 
 [2019/9/12 17:17:32 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 17:17:32 , Normal] -> 设置轴向归零参数 
 [2019/9/12 17:17:33 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 17:17:38 , Normal] -> 水平轴向归零成功 
 [2019/9/12 17:17:38 , Normal] -> 所有坐标清零成功 
 [2019/9/12 17:20:38 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/12 17:20:38 , Normal] -> 设置轴向归零参数 
 [2019/9/12 17:20:39 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/12 17:20:44 , Normal] -> 水平轴向归零成功 
 [2019/9/12 17:20:44 , Normal] -> 所有坐标清零成功 
 
